Episode: 0, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 5, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 770, Recent Actor Losses: [tensor(-30.4545, device='cuda:0')], Recent Critic Losses: [tensor(0.6120, device='cuda:0')]
Episode: 775, Recent Actor Losses: [tensor(-30.4219, device='cuda:0')], Recent Critic Losses: [tensor(0.2153, device='cuda:0')]
Episode: 780, Recent Actor Losses: [tensor(-31.3023, device='cuda:0')], Recent Critic Losses: [tensor(1.4123, device='cuda:0')]
Episode: 785, Recent Actor Losses: [tensor(-31.4466, device='cuda:0')], Recent Critic Losses: [tensor(0.4622, device='cuda:0')]
Episode: 790, Recent Actor Losses: [tensor(-30.2536, device='cuda:0')], Recent Critic Losses: [tensor(0.4607, device='cuda:0')]
Episode: 795, Recent Actor Losses: [tensor(-30.0768, device='cuda:0')], Recent Critic Losses: [tensor(0.2904, device='cuda:0')]
Episode: 800, Recent Actor Losses: [tensor(-31.3336, device='cuda:0')], Recent Critic Losses: [tensor(0.5107, device='cuda:0')]
Episode: 805, Recent Actor Losses: [tensor(-29.8357, device='cuda:0')], Recent Critic Losses: [tensor(0.2858, device='cuda:0')]
Episode: 810, Recent Actor Losses: [tensor(-29.2096, device='cuda:0')], Recent Critic Losses: [tensor(0.1944, device='cuda:0')]
Episode: 815, Recent Actor Losses: [tensor(-31.8082, device='cuda:0')], Recent Critic Losses: [tensor(0.5962, device='cuda:0')]
Episode: 820, Recent Actor Losses: [tensor(-30.1594, device='cuda:0')], Recent Critic Losses: [tensor(0.5390, device='cuda:0')]
Episode: 825, Recent Actor Losses: [tensor(-28.9451, device='cuda:0')], Recent Critic Losses: [tensor(0.2371, device='cuda:0')]
Episode: 830, Recent Actor Losses: [tensor(-31.2465, device='cuda:0')], Recent Critic Losses: [tensor(0.4949, device='cuda:0')]
Episode: 835, Recent Actor Losses: [tensor(-29.1858, device='cuda:0')], Recent Critic Losses: [tensor(0.5722, device='cuda:0')]
Episode: 840, Recent Actor Losses: [tensor(-31.6170, device='cuda:0')], Recent Critic Losses: [tensor(0.7043, device='cuda:0')]
